Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR PSILCAN TOTSOILRES GSCAN GBHCAN WATCAPIL ROOTFRONT  
      0      0     3464.4426      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      4     25     3461.4382      2954.6289         0.0000         0.0000         0.0000         0.0000         0.0000         0.0002         0.0000         0.0001         0.0000        -0.0088         1.2100         0.0084         0.0007         0.1791         1.0000        -8.0662        -1.9331       -10.9505        20.9497       464.6332       470.2759         5.2236        57.3194         0.0542        20.2100        21.4787        26.0910         0.1221         0.1301         0.0837  -0.1597283632   0.0000001639   0.0922823697   0.4139727056   0.0000000000   0.5667750239
      4     26     3461.4358      2954.6245         0.0000         0.0000         0.0000         0.0000         0.0000         0.0008         0.0000         0.0001         0.0000        -0.0088         1.2100         0.0084         0.0017         0.1791         1.0000       -16.1796        -4.6536         8.9213        11.9121       500.8636       511.5366         7.7547        82.8073         0.0542        21.0950        23.4414        26.0648         0.1220         0.1300         0.0828  -0.6213357449   0.0000001642   0.2264913917   0.4305635393   0.0000000000   0.5667750239
      4     27     3461.4312      2954.6182         0.0000         0.0000         0.0000         0.0000         0.0000         0.0015         0.0000         0.0001         0.0000        -0.0088         1.2100         0.0084         0.0028         0.1791         1.0000       -24.9590        -7.6835        29.3746         3.2677       537.5895       553.3707        10.2072       109.0631         0.0542        21.9800        25.3380        26.0585         0.1220         0.1300         0.0805  -1.1622732878   0.0000001646   0.3070021570   0.4459181726   0.0000000000   0.5667750239
      4     28     3461.4241      2954.6094         0.0000         0.0000         0.0000         0.0000         0.0000         0.0023         0.0000         0.0001         0.0000        -0.0088         1.2100         0.0084         0.0048         0.1791         1.0000       -35.5672       -13.0300        58.0340        -9.4363       590.5865       612.8126        13.2980       145.0710         0.0542        23.1440        28.1578        26.0809         0.1219         0.1300         0.0764  -1.8572973013   0.0000001651   0.3299463689   0.4362617135   0.0000000000   0.5667750239
      4     29     3461.4136      2954.5969         0.0000         0.0000         0.0000         0.0000         0.0000         0.0029         0.0000         0.0001         0.0000        -0.0088         1.2100         0.0085         0.0072         0.1791         1.0000       -45.2984       -19.4506        86.9165       -22.1672       644.6487       673.8159        16.2530       182.0258         0.0542        24.3070        31.0133        26.1319         0.1219         0.1299         0.0727  -2.2835402489   0.0000001656   0.2684477270   0.4271398485   0.0000000000   0.5667750239
      4     30     3461.4019      2954.5835         0.0000         0.0000         0.0000         0.0000         0.0000         0.0031         0.0000         0.0001         0.0000        -0.0088         1.2100         0.0085         0.0090         0.1791         1.0000       -56.2250       -24.3235       110.7953       -30.2470       686.0584       721.5342        18.5831       213.3851         0.0542        25.3110        32.8633        26.2006         0.1218         0.1299         0.0709  -2.4691417217   0.0000001663   0.2126825154   0.4472173750   0.0000000000   0.5667750239
      4     31     3461.3872      2954.5669         0.0000         0.0000         0.0000         0.0000         0.0000         0.0033         0.0000         0.0001         0.0000        -0.0089         1.2100         0.0085         0.0110         0.1791         1.0000       -67.6313       -29.5395       135.0557       -37.8847       727.5703       769.2945        20.7219       245.0802         0.0542        26.3150        34.6335        26.2860         0.1218         0.1298         0.0694  -2.5986845493   0.0000001670   0.1719796360   0.4660618603   0.0000000000   0.5667750239
      4     32     3461.3728      2954.5508         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0089         1.2100         0.0085         0.0109         0.1791         1.0000       -64.4372       -29.3851       131.5438       -37.7217       723.8152       768.1910        21.4236       244.7570         0.0542        26.6620        34.6844        26.3700         0.1217         0.1298         0.0728  -2.6988599300   0.0000001677   0.1681781560   0.4635432661   0.0000000000   0.5667750239
      4     33     3461.3577      2954.5334         0.0000         0.0000         0.0000         0.0000         0.0000         0.0036         0.0000         0.0001         0.0000        -0.0089         1.2100         0.0086         0.0109         0.1791         1.0000       -61.1637       -29.1832       127.8333       -37.4863       719.6970       765.9685        21.7076       243.3916         0.0542        27.0090        34.7178        26.4526         0.1217         0.1297         0.0757  -2.8169174194   0.0000001685   0.1682353765   0.4606086910   0.0000000000   0.5667750239
      4     34     3461.3352      2954.5095         0.0000         0.0000         0.0000         0.0000         0.0000         0.0030         0.0000         0.0001         0.0000        -0.0089         1.2100         0.0086         0.0200         0.1791         1.0000       -91.0099       -53.3238       211.5753       -67.2411       869.5103       930.5842        26.3703       345.4316         0.0542        30.1060        41.4297        26.6020         0.1216         0.1297         0.0643  -2.3360376358   0.0000001692   0.0749690607   0.4644171894   0.0000000000   0.5667750239
      4     35     3461.2993      2954.4714         0.0000         0.0000         0.0000         0.0000         0.0000         0.0033         0.0000         0.0001         0.0000        -0.0089         1.2100         0.0087         0.0321         0.1791         1.0000      -117.9805       -85.0531       297.7291       -94.6957      1021.8527      1094.3549        29.6449       447.0133         0.0542        33.2030        47.7007        26.8123         0.1214         0.1296         0.0537  -2.6452879906   0.0000001702   0.0576472133   0.4649368227   0.0000000000   0.5667750239
      4     36     3461.2566      2954.4272         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0089         1.2100         0.0088         0.0393         0.1791         1.0000      -113.0482      -103.9136       325.9815      -109.0199      1084.1205      1162.3422        31.6165       484.2447         0.0542        36.0240        51.1132        27.0533         0.1213         0.1296         0.0520  -2.7140882015   0.0000001717   0.0449479744   0.4461187124   0.0000000000   0.5667750239
      4     37     3461.2063      2954.3750         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0090         1.2100         0.0090         0.0474         0.1791         1.0000      -106.7901      -124.8493       354.3096      -122.6705      1146.3850      1229.1708        32.9052       520.3917         0.0542        38.8450        54.4108        27.3229         0.1211         0.1295         0.0503  -2.7112548351   0.0000001733   0.0347861163   0.4268877804   0.0000000000   0.5667750239
      4     38     3461.1511      2954.3179         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0090         1.2100         0.0091         0.0512         0.1791         1.0000      -112.4117      -134.6841       375.2134      -128.1181      1184.4470      1272.3638        34.4144       547.4537         0.0542        39.4240        55.9123        27.6025         0.1209         0.1295         0.0493  -2.7026262283   0.0000001752   0.0326406658   0.4258820117   0.0000000000   0.5667750239
      4     39     3461.0928      2954.2576         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0090         1.2100         0.0093         0.0551         0.1791         1.0000      -117.8307      -144.8039       396.0927      -133.4576      1222.5592      1315.2322        35.4252       574.1266         0.0542        40.0030        57.4022        27.8916         0.1207         0.1295         0.0481  -2.6846091747   0.0000001773   0.0306940172   0.4245472848   0.0000000000   0.5667750239
